prompt,response
Very Large Telescope,The Very Large Telescope in Chile uses four giant mirrors to study deep space.
Keck Observatory,The Keck Observatory in Hawaii houses some of the world’s largest optical telescopes.
Square Kilometre Array,The Square Kilometre Array will be the world’s largest radio telescope when completed.
Event Horizon Telescope,The Event Horizon Telescope captured the first image of a black hole in 2019.
Infrared Astronomy,Infrared astronomy reveals objects hidden by dust clouds that block visible light.
Ultraviolet Astronomy,Ultraviolet astronomy studies hot stars and interstellar gas invisible in normal light.
Gamma-ray Astronomy,Gamma-ray astronomy detects the universe’s most energetic events like pulsars and GRBs.
Deep Space Network,The Deep Space Network is a system of giant antennas that communicate with distant spacecraft.
Space Communication,Space communication involves transmitting signals across vast distances with minimal delay.
Telemetry,Telemetry is the process of sending spacecraft health and science data back to Earth.
Tracking Station,A tracking station monitors the position and movement of spacecraft in real time.
Ground Control,Ground control manages and commands spacecraft operations from Earth.
Interstellar Probe,An interstellar probe is a proposed mission to travel beyond our solar system.
Generation Ship,A generation ship is a hypothetical spacecraft where multiple generations live and die during the journey.
Warp Drive,Warp drive is a theoretical propulsion method that bends spacetime for faster-than-light travel.
Wormhole Travel,Wormhole travel is a speculative idea of using shortcuts through spacetime to travel instantly.
Lightsail Propulsion,"Lightsail propulsion uses large, reflective sails pushed by light or lasers to travel through space."
